customer_id,customer_name,email,phone,city,loyalty_status,start_date,end_date,current_flag
CUST01069,Kavya Singh,kavya.singh1069@rediffmail.com,+918145866965,Hyderabad,Bronze,2025-02-24,,Y
CUST00462,Myra Pillai,,+919333283684,Mumbai,Gold,2025-02-02,,Y
CUST00237,Harsha Kumar,harsha.kumar237@rediffmail.com,,Bangalore,Platinum,2025-02-24,,Y
CUST00728,Sneha Shetty,sneha.shetty728@rediffmail.com,,Mumbai,Gold,2025-01-11,,Y
CUST00376,Reyansh Pillai,reyansh.pillai376@rediffmail.com,+918111512237,Chennai,Silver,2024-12-24,,Y
CUST00719,Krishna Kulkarni,,+917997565898,Mumbai,Silver,2025-01-07,,Y
CUST00697,Rohan Subramanian,rohan.subramanian697@outlook.com,+917340537033,Chennai,Gold,2025-01-15,,Y
CUST00800,Suresh Bose,,+919407537585,Chennai,Gold,2025-02-19,2025-03-30,N
CUST00125,Rahul Krishnan,,+917615844692,,Gold,2025-02-05,2025-03-03,N
CUST00089,Ira Reddy,ira.reddy89@rediffmail.com,,,Gold,2025-01-18,,Y
CUST00971,Ananya Singh,ananya.singh971@rediffmail.com,,,Platinum,2025-01-21,,Y
CUST00524,Meera Chopra,meera.chopra524@yahoo.com,+916584541694,Mumbai,Platinum,2024-12-24,2025-01-24,N
CUST00210,Nikhil Deshmukh,,,,Platinum,2024-12-23,2025-02-20,N
CUST00469,Karthik Singh,,,Bangalore,Platinum,2025-01-23,,Y
CUST00993,Aditya Naidu,,+919608461251,Bangalore,Silver,2024-12-30,,Y
CUST00486,Meera Mehta,meera.mehta486@yahoo.com,,Bangalore,Bronze,2025-01-15,2025-03-13,N
CUST00902,Sneha Verma,sneha.verma902@gmail.com,+918536999772,,Bronze,2024-12-20,,Y
CUST01087,Diya Bose,diya.bose1087@rediffmail.com,,Chennai,Silver,2025-01-01,,Y
CUST01081,Nikhil Patel,,+918437104708,Bangalore,Gold,2024-12-22,2025-01-17,N
CUST00873,Lakshmi Nair,lakshmi.nair873@rediffmail.com,+916485149709,Chennai,Gold,2025-01-01,2025-02-06,N
CUST00693,Nikhil Kumar,,+917406421115,Bangalore,Gold,2024-12-28,,Y
CUST00579,Sneha Krishnan,sneha.krishnan579@rediffmail.com,+916466080142,Hyderabad,Gold,2025-01-22,,Y
CUST00848,Nikhil Das,nikhil.das848@outlook.com,+919122471017,Mumbai,Platinum,2025-03-07,,Y
CUST00136,Divya Iyer,divya.iyer136@gmail.com,+916998062616,Mumbai,Platinum,2024-12-20,,Y
CUST00563,Aditya Kumar,aditya.kumar563@rediffmail.com,+919950691783,Mumbai,Bronze,2025-01-20,,Y
CUST00151,Gayathri Patel,,+917074090758,,Silver,2025-01-03,,Y
